transcript_id	gene_id	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
transcript44646	HORVU.RGT_PLANET.PROJ.6HG00527460	0.00	0.00	0.00	0.00	0.00	0.00
transcript44648	HORVU.RGT_PLANET.PROJ.6HG00527490	3.10	4.00	3.92	1.81	1.13	1.66
transcript44651	HORVU.RGT_PLANET.PROJ.6HG00527520	0.00	0.00	0.00	0.00	0.00	0.00
transcript44653	HORVU.RGT_PLANET.PROJ.6HG00527540	0.00	0.00	0.00	0.00	0.00	0.00
transcript44654	HORVU.RGT_PLANET.PROJ.6HG00527550	0.00	0.00	0.00	0.00	0.00	0.00
transcript44659	HORVU.RGT_PLANET.PROJ.6HG00527590	2.12	3.01	2.57	0.79	0.95	0.99
transcript44661	HORVU.RGT_PLANET.PROJ.6HG00527600	0.00	0.00	0.00	0.00	0.00	0.00
transcript44662	HORVU.RGT_PLANET.PROJ.6HG00527610	0.00	0.00	0.00	0.00	0.00	0.00
transcript44667	HORVU.RGT_PLANET.PROJ.6HG00527650	0.00	0.00	0.00	0.00	0.00	0.00
transcript44668	HORVU.RGT_PLANET.PROJ.6HG00527670	0.00	0.00	0.00	0.00	0.00	0.00
transcript44670	HORVU.RGT_PLANET.PROJ.6HG00527690	0.00	0.00	0.00	0.00	0.00	0.00
transcript44671	HORVU.RGT_PLANET.PROJ.6HG00527700	0.00	0.00	0.00	0.00	0.00	0.00
transcript44676	HORVU.RGT_PLANET.PROJ.6HG00527750	0.00	0.00	0.00	0.00	0.00	0.00
transcript44677	HORVU.RGT_PLANET.PROJ.6HG00527800	0.00	0.00	0.00	0.00	0.00	0.00
transcript44679	HORVU.RGT_PLANET.PROJ.6HG00527820	0.00	0.00	0.00	0.00	0.00	0.07
transcript44680	HORVU.RGT_PLANET.PROJ.6HG00527830	0.00	0.00	0.00	0.00	0.00	0.00
transcript44691	HORVU.RGT_PLANET.PROJ.6HG00527980	0.00	0.00	0.00	0.00	0.00	0.00
transcript44692	HORVU.RGT_PLANET.PROJ.6HG00528000	0.00	0.00	0.00	0.00	0.00	0.00
transcript44706	HORVU.RGT_PLANET.PROJ.6HG00528150	0.00	0.00	0.00	0.00	0.00	0.00
transcript44707	HORVU.RGT_PLANET.PROJ.6HG00528160	0.70	0.96	0.44	0.05	0.02	0.13
transcript44712	HORVU.RGT_PLANET.PROJ.6HG00528220	0.00	0.00	0.00	0.00	0.00	0.00
transcript44714	HORVU.RGT_PLANET.PROJ.6HG00528260	0.00	0.00	0.00	0.00	0.00	0.00
transcript44719	HORVU.RGT_PLANET.PROJ.6HG00528290	2.41	1.29	1.14	0.54	0.57	0.83
transcript44720	HORVU.RGT_PLANET.PROJ.6HG00528300	0.00	0.04	0.24	0.00	0.00	0.00
transcript44721	HORVU.RGT_PLANET.PROJ.6HG00528310	0.00	0.00	0.00	0.00	0.00	0.00
transcript44722	HORVU.RGT_PLANET.PROJ.6HG00528320	0.00	0.00	0.00	0.00	0.00	0.00
transcript44726	HORVU.RGT_PLANET.PROJ.6HG00528340	0.00	0.00	0.00	0.00	0.00	0.00
transcript44727	HORVU.RGT_PLANET.PROJ.6HG00528350	0.38	0.20	0.38	0.08	0.03	0.06
transcript44728	HORVU.RGT_PLANET.PROJ.6HG00528360	0.00	0.00	0.00	0.00	0.00	0.00
transcript44732	HORVU.RGT_PLANET.PROJ.6HG00528450	0.00	0.00	0.00	0.00	0.00	0.00
transcript44740	HORVU.RGT_PLANET.PROJ.6HG00528540	0.00	0.00	0.00	0.00	0.00	0.00
transcript44743	HORVU.RGT_PLANET.PROJ.6HG00528580	0.00	0.00	0.00	0.00	0.00	0.00
transcript44746	HORVU.RGT_PLANET.PROJ.6HG00528620	0.00	0.00	0.00	0.00	0.00	0.00
transcript44747	HORVU.RGT_PLANET.PROJ.6HG00528640	0.00	0.00	0.00	0.00	0.00	0.00
transcript44750	HORVU.RGT_PLANET.PROJ.6HG00528670	0.00	0.00	0.00	0.00	0.00	0.00
transcript44755	HORVU.RGT_PLANET.PROJ.6HG00528740	0.00	0.00	0.00	0.00	0.00	0.00
transcript44756	HORVU.RGT_PLANET.PROJ.6HG00528750	0.00	0.00	0.00	0.00	0.00	0.00
transcript44763	HORVU.RGT_PLANET.PROJ.6HG00528850	0.11	0.00	0.78	0.00	0.11	0.00
transcript44764	HORVU.RGT_PLANET.PROJ.6HG00528860	2.79	1.64	2.43	2.84	2.14	2.18
transcript44780	HORVU.RGT_PLANET.PROJ.6HG00529030	0.14	0.15	0.27	0.06	0.20	0.07
transcript44781	HORVU.RGT_PLANET.PROJ.6HG00529060	0.00	0.00	0.00	0.00	0.00	0.00
transcript44782	HORVU.RGT_PLANET.PROJ.6HG00529070	0.00	0.00	0.00	0.00	0.00	0.00
transcript44792	HORVU.RGT_PLANET.PROJ.6HG00529250	0.00	0.00	0.00	0.00	0.05	0.00
transcript44799	HORVU.RGT_PLANET.PROJ.6HG00529330	0.00	0.00	0.00	0.00	0.00	0.00
transcript44801	HORVU.RGT_PLANET.PROJ.6HG00529360	0.00	0.00	0.00	0.00	0.00	0.00
transcript44803	HORVU.RGT_PLANET.PROJ.6HG00529380	0.00	0.00	0.00	0.00	0.00	0.00
transcript44806	HORVU.RGT_PLANET.PROJ.6HG00529410	0.00	0.00	0.00	0.00	0.00	0.00
transcript44807	HORVU.RGT_PLANET.PROJ.6HG00529430	0.00	0.00	0.00	0.00	0.00	0.00
transcript44816	HORVU.RGT_PLANET.PROJ.6HG00529550	0.00	0.00	0.00	0.00	0.00	0.00
transcript44827	HORVU.RGT_PLANET.PROJ.6HG00529650	0.00	0.00	0.00	0.00	0.00	0.00
transcript44829	HORVU.RGT_PLANET.PROJ.6HG00529670	0.00	0.00	0.00	0.00	0.00	0.00
transcript44839	HORVU.RGT_PLANET.PROJ.6HG00529800	0.00	0.00	0.00	0.00	0.00	0.00
transcript44840	HORVU.RGT_PLANET.PROJ.6HG00529810	0.00	0.00	0.00	0.00	0.00	0.00
transcript44841	HORVU.RGT_PLANET.PROJ.6HG00529820	0.00	0.00	0.00	0.00	0.00	0.00
transcript44842	HORVU.RGT_PLANET.PROJ.6HG00529840	0.00	0.00	0.00	0.00	0.00	0.00
transcript44846	HORVU.RGT_PLANET.PROJ.6HG00529910	0.30	0.19	0.27	0.78	0.72	1.08
transcript44847	HORVU.RGT_PLANET.PROJ.6HG00529920	0.00	0.00	0.00	0.00	0.00	0.00
transcript44855	HORVU.RGT_PLANET.PROJ.6HG00530000	0.00	0.00	0.00	0.00	0.00	0.00
transcript44856	HORVU.RGT_PLANET.PROJ.6HG00530010	0.00	0.00	0.00	0.00	0.00	0.00
transcript44858	HORVU.RGT_PLANET.PROJ.6HG00530030	0.00	0.00	0.00	0.00	0.00	0.00
transcript44864	HORVU.RGT_PLANET.PROJ.6HG00530130	2.39	0.62	1.94	0.33	0.19	0.29
transcript44869	HORVU.RGT_PLANET.PROJ.6HG00530170	0.00	0.00	0.00	0.00	0.00	0.00
transcript44870	HORVU.RGT_PLANET.PROJ.6HG00530180	0.00	0.13	0.00	0.00	0.00	0.00
transcript44874	HORVU.RGT_PLANET.PROJ.6HG00530220	2.87	2.48	2.89	2.35	1.20	1.17
transcript44877	HORVU.RGT_PLANET.PROJ.6HG00530260	0.00	0.00	0.00	0.00	0.00	0.00
transcript44880	HORVU.RGT_PLANET.PROJ.6HG00530310	0.00	0.00	0.00	0.00	0.00	0.00
transcript44885	HORVU.RGT_PLANET.PROJ.6HG00530350	1.29	1.03	2.09	1.60	1.25	1.67
transcript44887	HORVU.RGT_PLANET.PROJ.6HG00530370	0.00	0.00	0.00	0.00	0.00	0.00
transcript44892	HORVU.RGT_PLANET.PROJ.6HG00530450	0.26	0.84	1.06	0.12	0.08	0.05
transcript44893	HORVU.RGT_PLANET.PROJ.6HG00530460	0.00	0.00	0.00	0.00	0.00	0.00
transcript44906	HORVU.RGT_PLANET.PROJ.6HG00530570	0.04	0.00	0.00	0.00	0.00	0.00
transcript44907	HORVU.RGT_PLANET.PROJ.6HG00530590	0.27	0.28	0.21	0.09	0.07	0.13
transcript44909	HORVU.RGT_PLANET.PROJ.6HG00530620	2.45	3.31	3.95	1.87	1.52	1.78
transcript44910	HORVU.RGT_PLANET.PROJ.6HG00530630	0.00	0.00	0.00	0.00	0.00	0.00
transcript44913	HORVU.RGT_PLANET.PROJ.6HG00530670	0.00	0.00	0.00	0.00	0.00	0.00
transcript44914	HORVU.RGT_PLANET.PROJ.6HG00530690	0.00	0.00	0.00	0.00	0.00	0.00
transcript44915	HORVU.RGT_PLANET.PROJ.6HG00530700	0.70	0.67	1.18	0.23	0.24	0.27
transcript44917	HORVU.RGT_PLANET.PROJ.6HG00530730	0.00	0.00	0.00	0.00	0.00	0.00
transcript44918	HORVU.RGT_PLANET.PROJ.6HG00530740	0.00	0.00	0.00	0.00	0.00	0.00
transcript44919	HORVU.RGT_PLANET.PROJ.6HG00530760	0.00	0.00	0.00	0.00	0.00	0.00
transcript44929	HORVU.RGT_PLANET.PROJ.6HG00530850	0.00	0.00	0.00	0.00	0.00	0.00
transcript44930	HORVU.RGT_PLANET.PROJ.6HG00530860	0.00	0.05	0.00	0.00	0.18	0.00
transcript44931	HORVU.RGT_PLANET.PROJ.6HG00530880	0.00	0.00	0.00	0.00	0.00	0.00
transcript44932	HORVU.RGT_PLANET.PROJ.6HG00530890	0.00	0.00	0.00	0.00	0.00	0.00
transcript44933	HORVU.RGT_PLANET.PROJ.6HG00530900	0.00	0.00	0.00	0.00	0.00	0.00
transcript44938	HORVU.RGT_PLANET.PROJ.6HG00530950	0.00	0.00	0.00	0.00	0.00	0.00
transcript44939	HORVU.RGT_PLANET.PROJ.6HG00531000	0.00	0.00	0.00	0.00	0.00	0.00
transcript44940	HORVU.RGT_PLANET.PROJ.6HG00531060	0.50	0.79	0.85	0.20	0.43	0.42
transcript44941	HORVU.RGT_PLANET.PROJ.6HG00531070	0.00	0.00	0.00	0.00	0.00	0.00
transcript44948	HORVU.RGT_PLANET.PROJ.6HG00531160	0.00	0.00	0.00	0.00	0.00	0.00
transcript44949	HORVU.RGT_PLANET.PROJ.6HG00531180	0.00	0.00	0.00	0.00	0.00	0.00
transcript44951	HORVU.RGT_PLANET.PROJ.6HG00531200	0.00	0.00	0.00	0.00	0.00	0.00
transcript44956	HORVU.RGT_PLANET.PROJ.6HG00531280	0.85	0.58	0.55	0.48	0.42	0.30
transcript44957	HORVU.RGT_PLANET.PROJ.6HG00531300	0.00	0.00	0.00	0.00	0.00	0.00
transcript44960	HORVU.RGT_PLANET.PROJ.6HG00531380	0.04	0.02	0.04	0.02	0.18	0.05
transcript44961	HORVU.RGT_PLANET.PROJ.6HG00531390	0.06	0.00	0.06	1.43	1.72	2.69
transcript44962	HORVU.RGT_PLANET.PROJ.6HG00531400	0.00	0.00	0.00	0.29	0.00	0.31
transcript44964	HORVU.RGT_PLANET.PROJ.6HG00531430	0.00	0.38	0.33	0.32	0.50	0.00
transcript44965	HORVU.RGT_PLANET.PROJ.6HG00531440	0.00	0.00	0.00	0.00	0.00	0.00
transcript44966	HORVU.RGT_PLANET.PROJ.6HG00531450	0.00	0.00	0.00	0.00	0.00	0.35
transcript44967	HORVU.RGT_PLANET.PROJ.6HG00531460	0.00	0.19	0.00	0.00	0.00	0.00
transcript44968	HORVU.RGT_PLANET.PROJ.6HG00531470	0.00	0.00	0.00	0.00	0.00	0.00
transcript44969	HORVU.RGT_PLANET.PROJ.6HG00531500	0.00	0.00	0.00	0.00	0.00	0.00
transcript44970	HORVU.RGT_PLANET.PROJ.6HG00531510	0.00	0.00	0.00	0.00	0.00	0.00
transcript44971	HORVU.RGT_PLANET.PROJ.6HG00531520	2.50	0.35	2.18	0.91	0.65	0.95
transcript44977	HORVU.RGT_PLANET.PROJ.6HG00531600	5.68	7.31	7.67	2.85	1.78	2.48
transcript44978	HORVU.RGT_PLANET.PROJ.6HG00531620	0.00	0.00	0.00	0.00	0.00	0.00
transcript44990	HORVU.RGT_PLANET.PROJ.6HG00531810	0.82	0.62	0.00	0.00	0.27	0.00
transcript44993	HORVU.RGT_PLANET.PROJ.6HG00531890	0.00	0.00	0.00	0.00	0.00	0.00
transcript44999	HORVU.RGT_PLANET.PROJ.6HG00531940	0.00	0.00	0.00	0.00	0.00	0.00
transcript45008	HORVU.RGT_PLANET.PROJ.6HG00532060	0.00	0.00	0.00	0.00	0.00	0.00
transcript45015	HORVU.RGT_PLANET.PROJ.6HG00532120	0.11	0.13	0.13	0.04	0.05	0.11
transcript45016	HORVU.RGT_PLANET.PROJ.6HG00532130	0.00	0.00	0.00	0.00	0.00	0.00
transcript45022	HORVU.RGT_PLANET.PROJ.6HG00532200	0.00	0.00	0.00	0.00	0.00	0.00
transcript45026	HORVU.RGT_PLANET.PROJ.6HG00532230	1.13	1.21	1.30	0.09	0.07	0.09
transcript45027	HORVU.RGT_PLANET.PROJ.6HG00532250	0.00	0.00	0.00	0.00	0.00	0.00
transcript45029	HORVU.RGT_PLANET.PROJ.6HG00532270	0.00	0.00	0.00	0.00	0.00	0.00
transcript45033	HORVU.RGT_PLANET.PROJ.6HG00532290	1.02	3.69	0.00	0.49	1.21	0.84
transcript45037	HORVU.RGT_PLANET.PROJ.6HG00532330	0.00	0.00	0.00	0.00	0.00	0.00
transcript45039	HORVU.RGT_PLANET.PROJ.6HG00532360	0.00	0.00	0.00	0.00	0.00	0.00
transcript45040	HORVU.RGT_PLANET.PROJ.6HG00532370	0.00	0.00	0.00	0.00	0.00	0.00
transcript45042	HORVU.RGT_PLANET.PROJ.6HG00532410	0.00	0.00	0.00	0.00	0.00	0.00
transcript45051	HORVU.RGT_PLANET.PROJ.6HG00532500	0.00	0.00	0.00	0.00	0.00	0.00
transcript45057	HORVU.RGT_PLANET.PROJ.6HG00532630	0.00	0.00	0.00	0.00	0.07	0.00
transcript45058	HORVU.RGT_PLANET.PROJ.6HG00532640	0.00	0.00	0.00	0.00	0.00	0.00
transcript45065	HORVU.RGT_PLANET.PROJ.6HG00532730	0.00	0.00	0.00	0.00	0.00	0.10
transcript45066	HORVU.RGT_PLANET.PROJ.6HG00532740	0.12	0.07	0.00	0.00	0.00	0.03
transcript45075	HORVU.RGT_PLANET.PROJ.6HG00532890	0.00	0.00	0.00	0.00	0.00	0.00
transcript45076	HORVU.RGT_PLANET.PROJ.6HG00532930	0.00	0.00	0.00	0.00	0.00	0.00
transcript45077	HORVU.RGT_PLANET.PROJ.6HG00532950	0.00	0.00	0.00	0.00	0.00	0.00
transcript45078	HORVU.RGT_PLANET.PROJ.6HG00532990	0.00	0.00	0.00	0.00	0.00	0.00
transcript45079	HORVU.RGT_PLANET.PROJ.6HG00533000	0.00	0.00	0.00	0.00	0.00	0.00
transcript45081	HORVU.RGT_PLANET.PROJ.6HG00533020	0.00	0.00	0.00	0.00	0.00	0.00
transcript45083	HORVU.RGT_PLANET.PROJ.6HG00533040	0.00	0.33	0.00	0.00	0.00	0.00
transcript45090	HORVU.RGT_PLANET.PROJ.6HG00533100	0.03	0.04	0.03	0.41	0.28	0.18
transcript45093	HORVU.RGT_PLANET.PROJ.6HG00533150	0.00	0.00	0.00	0.00	0.00	0.00
transcript45105	HORVU.RGT_PLANET.PROJ.6HG00533270	0.00	0.00	0.00	0.00	0.00	0.00
transcript45112	HORVU.RGT_PLANET.PROJ.6HG00533320	0.00	0.00	0.00	0.00	0.00	0.00
transcript45114	HORVU.RGT_PLANET.PROJ.6HG00533330	0.04	0.00	0.00	0.00	0.00	0.00
transcript45122	HORVU.RGT_PLANET.PROJ.6HG00533380	0.00	0.00	0.00	0.00	0.00	0.00
transcript45123	HORVU.RGT_PLANET.PROJ.6HG00533400	0.00	0.00	0.00	0.00	0.00	0.00
transcript45129	HORVU.RGT_PLANET.PROJ.6HG00533530	0.45	0.04	0.06	0.18	0.09	0.06
transcript45135	HORVU.RGT_PLANET.PROJ.6HG00533660	0.00	0.00	0.02	0.16	0.02	0.05
transcript45136	HORVU.RGT_PLANET.PROJ.6HG00533670	0.00	0.00	0.00	0.00	0.00	0.00
transcript45139	HORVU.RGT_PLANET.PROJ.6HG00533720	2.37	2.70	1.19	0.00	0.11	0.21
transcript45140	HORVU.RGT_PLANET.PROJ.6HG00533740	0.00	0.00	0.00	0.00	0.26	0.77
transcript45141	HORVU.RGT_PLANET.PROJ.6HG00533750	0.00	0.00	0.00	0.00	0.00	0.00
transcript45142	HORVU.RGT_PLANET.PROJ.6HG00533760	0.00	0.00	0.00	0.00	0.00	0.00
transcript45144	HORVU.RGT_PLANET.PROJ.6HG00533780	0.00	0.00	0.00	0.00	0.00	0.00
transcript45145	HORVU.RGT_PLANET.PROJ.6HG00533790	0.00	0.00	0.00	0.00	0.00	0.00
transcript45149	HORVU.RGT_PLANET.PROJ.6HG00533820	0.00	0.00	0.00	0.00	0.00	0.00
transcript45150	HORVU.RGT_PLANET.PROJ.6HG00533830	0.00	0.08	0.00	0.13	0.20	0.26
transcript45151	HORVU.RGT_PLANET.PROJ.6HG00533840	0.00	0.00	0.00	0.00	0.00	0.00
transcript45152	HORVU.RGT_PLANET.PROJ.6HG00533860	0.00	0.00	0.00	0.00	0.00	0.00
transcript45156	HORVU.RGT_PLANET.PROJ.6HG00533930	0.00	0.04	0.00	0.00	0.00	0.00
transcript45162	HORVU.RGT_PLANET.PROJ.6HG00534020	0.00	0.00	0.00	0.00	0.00	0.00
transcript45164	HORVU.RGT_PLANET.PROJ.6HG00534040	0.00	0.00	0.00	0.00	0.00	0.00
transcript45166	HORVU.RGT_PLANET.PROJ.6HG00534050	0.13	0.09	0.12	0.06	0.09	0.03
transcript45170	HORVU.RGT_PLANET.PROJ.6HG00534090	0.00	0.00	0.00	0.00	0.00	0.00
transcript45171	HORVU.RGT_PLANET.PROJ.6HG00534100	0.00	0.00	0.00	0.00	0.00	0.00
transcript45177	HORVU.RGT_PLANET.PROJ.6HG00534170	0.00	0.00	0.00	0.00	0.00	0.00
transcript45181	HORVU.RGT_PLANET.PROJ.6HG00534250	0.00	0.00	0.00	0.00	0.00	0.00
transcript45182	HORVU.RGT_PLANET.PROJ.6HG00534260	0.00	0.00	0.00	0.00	0.00	0.00
transcript45183	HORVU.RGT_PLANET.PROJ.6HG00534270	0.00	0.00	0.00	0.00	0.00	0.00
transcript45184	HORVU.RGT_PLANET.PROJ.6HG00534280	0.00	0.00	0.00	0.00	0.00	0.00
transcript45193	HORVU.RGT_PLANET.PROJ.6HG00534360	0.00	0.00	0.00	0.00	0.00	0.00
transcript45194	HORVU.RGT_PLANET.PROJ.6HG00534380	0.00	0.00	0.00	0.00	0.00	0.00
transcript45195	HORVU.RGT_PLANET.PROJ.6HG00534390	0.00	0.37	0.97	0.31	0.00	0.00
transcript45196	HORVU.RGT_PLANET.PROJ.6HG00534400	0.00	0.00	0.00	0.00	0.00	0.00
transcript45201	HORVU.RGT_PLANET.PROJ.6HG00534440	0.00	0.00	0.00	0.00	0.00	0.00
transcript45203	HORVU.RGT_PLANET.PROJ.6HG00534460	0.19	0.07	0.42	0.06	0.16	0.06
transcript45205	HORVU.RGT_PLANET.PROJ.6HG00534480	0.03	0.24	0.03	0.00	0.00	0.00
transcript45207	HORVU.RGT_PLANET.PROJ.6HG00534500	0.00	0.00	0.04	0.00	0.00	0.00
transcript45208	HORVU.RGT_PLANET.PROJ.6HG00534510	0.00	0.00	0.00	0.00	0.00	0.00
transcript45209	HORVU.RGT_PLANET.PROJ.6HG00534530	0.00	0.28	0.07	0.00	0.00	0.00
transcript45212	HORVU.RGT_PLANET.PROJ.6HG00534560	0.04	0.17	0.38	0.04	0.02	0.40
transcript45228	HORVU.RGT_PLANET.PROJ.6HG00534700	1.48	1.19	1.27	0.28	0.22	0.22
transcript45232	HORVU.RGT_PLANET.PROJ.6HG00534750	0.00	0.00	0.00	0.00	0.00	0.00
transcript45233	HORVU.RGT_PLANET.PROJ.6HG00534760	0.00	0.00	0.00	0.00	0.00	0.00
transcript45236	HORVU.RGT_PLANET.PROJ.6HG00534790	0.00	0.00	0.00	0.00	0.00	0.00
transcript45238	HORVU.RGT_PLANET.PROJ.6HG00534820	0.00	0.00	0.00	0.00	0.00	0.00
transcript45243	HORVU.RGT_PLANET.PROJ.6HG00534890	0.00	0.00	0.00	0.00	0.00	0.00
transcript45245	HORVU.RGT_PLANET.PROJ.6HG00534900	0.00	0.00	0.00	0.00	0.00	0.00
transcript45249	HORVU.RGT_PLANET.PROJ.6HG00534940	0.00	0.00	0.00	0.00	0.00	0.00
transcript45256	HORVU.RGT_PLANET.PROJ.6HG00535040	0.00	0.00	0.00	0.00	0.00	0.00
transcript45257	HORVU.RGT_PLANET.PROJ.6HG00535060	0.00	0.00	0.00	0.00	0.00	0.00
transcript45260	HORVU.RGT_PLANET.PROJ.6HG00535110	0.00	0.00	0.00	0.00	0.00	0.00
transcript45264	HORVU.RGT_PLANET.PROJ.6HG00535140	0.00	0.00	0.00	0.00	0.00	0.00
transcript45265	HORVU.RGT_PLANET.PROJ.6HG00535150	0.00	0.00	0.00	0.00	0.00	0.00
transcript45267	HORVU.RGT_PLANET.PROJ.6HG00535190	0.00	0.00	0.00	0.00	0.00	0.00
transcript45269	HORVU.RGT_PLANET.PROJ.6HG00535220	0.28	0.56	0.14	0.00	0.07	0.00
transcript45273	HORVU.RGT_PLANET.PROJ.6HG00535280	0.60	0.68	0.71	0.10	0.05	0.05
transcript45279	HORVU.RGT_PLANET.PROJ.6HG00535350	0.00	0.00	0.00	0.00	0.00	0.00
transcript45286	HORVU.RGT_PLANET.PROJ.6HG00535390	0.00	0.00	0.00	0.00	0.00	0.00
transcript45293	HORVU.RGT_PLANET.PROJ.6HG00535460	1.20	0.68	1.65	0.09	0.10	0.24
transcript45299	HORVU.RGT_PLANET.PROJ.6HG00535560	0.00	0.00	0.00	0.00	0.00	0.00
transcript45301	HORVU.RGT_PLANET.PROJ.6HG00535620	0.00	0.00	0.00	0.00	0.00	0.00
transcript45302	HORVU.RGT_PLANET.PROJ.6HG00535630	0.00	0.00	0.00	0.00	0.00	0.00
transcript45306	HORVU.RGT_PLANET.PROJ.6HG00535680	0.74	2.08	0.87	0.00	0.00	0.00
transcript45307	HORVU.RGT_PLANET.PROJ.6HG00535690	0.00	0.00	0.00	0.00	0.00	0.00
transcript45308	HORVU.RGT_PLANET.PROJ.6HG00535700	0.00	0.00	0.00	0.00	0.00	0.00
transcript45310	HORVU.RGT_PLANET.PROJ.6HG00535750	0.00	0.00	0.00	0.00	0.00	0.00
transcript45311	HORVU.RGT_PLANET.PROJ.6HG00535760	0.03	0.22	0.11	0.00	0.03	0.05
transcript45317	HORVU.RGT_PLANET.PROJ.6HG00535930	0.00	0.00	0.00	0.00	0.00	0.00
transcript45324	HORVU.RGT_PLANET.PROJ.6HG00535980	0.00	0.00	0.00	0.00	0.00	0.00
transcript45327	HORVU.RGT_PLANET.PROJ.6HG00536010	0.00	0.00	0.00	0.00	0.00	0.00
transcript45328	HORVU.RGT_PLANET.PROJ.6HG00536020	0.00	0.00	0.00	0.00	0.04	0.00
transcript45329	HORVU.RGT_PLANET.PROJ.6HG00536030	0.00	0.00	0.00	0.00	0.00	0.00
transcript45331	HORVU.RGT_PLANET.PROJ.6HG00536050	0.00	0.00	0.00	0.00	0.00	0.00
transcript45333	HORVU.RGT_PLANET.PROJ.6HG00536080	0.00	0.00	0.00	0.00	0.00	0.00
transcript45340	HORVU.RGT_PLANET.PROJ.6HG00536120	0.00	0.00	0.00	0.00	0.00	0.00
transcript45347	HORVU.RGT_PLANET.PROJ.6HG00536180	0.00	0.00	0.00	0.00	0.00	0.00
transcript45348	HORVU.RGT_PLANET.PROJ.6HG00536190	0.65	4.85	1.91	0.00	0.00	0.00
transcript45350	HORVU.RGT_PLANET.PROJ.6HG00536210	0.00	0.00	0.00	0.00	0.00	0.00
transcript45351	HORVU.RGT_PLANET.PROJ.6HG00536220	0.00	0.00	0.00	0.00	0.00	0.00
transcript45353	HORVU.RGT_PLANET.PROJ.6HG00536250	0.00	0.00	0.00	0.05	0.05	0.29
transcript45354	HORVU.RGT_PLANET.PROJ.6HG00536260	0.00	0.00	0.00	0.00	0.00	0.00
transcript45355	HORVU.RGT_PLANET.PROJ.6HG00536270	0.00	0.00	0.16	0.15	0.00	0.00
transcript45359	HORVU.RGT_PLANET.PROJ.6HG00536290	0.00	0.00	0.00	0.00	0.00	0.00
transcript45362	HORVU.RGT_PLANET.PROJ.6HG00536340	0.14	0.11	0.29	0.04	0.14	0.05
transcript45363	HORVU.RGT_PLANET.PROJ.6HG00536350	0.00	0.00	0.00	0.00	0.00	0.00
transcript45367	HORVU.RGT_PLANET.PROJ.6HG00536380	1.34	0.51	0.67	0.95	0.11	0.65
transcript45369	HORVU.RGT_PLANET.PROJ.6HG00536390	0.00	0.00	0.00	0.00	0.00	0.00
transcript45370	HORVU.RGT_PLANET.PROJ.6HG00536400	0.34	0.29	0.26	0.08	0.00	0.08
transcript45378	HORVU.RGT_PLANET.PROJ.6HG00536530	0.00	0.00	0.00	0.76	1.38	0.51
transcript45385	HORVU.RGT_PLANET.PROJ.6HG00536590	0.00	0.00	0.00	0.00	0.00	0.00
transcript45386	HORVU.RGT_PLANET.PROJ.6HG00536600	0.00	0.00	0.00	0.00	0.00	0.00
transcript45387	HORVU.RGT_PLANET.PROJ.6HG00536610	0.00	0.00	0.00	0.00	0.00	0.00
transcript45390	HORVU.RGT_PLANET.PROJ.6HG00536620	0.00	0.00	0.00	0.00	0.00	0.00
transcript45392	HORVU.RGT_PLANET.PROJ.6HG00536660	0.04	0.11	0.06	0.02	0.03	0.07
transcript45394	HORVU.RGT_PLANET.PROJ.6HG00536690	0.39	0.22	0.39	0.09	0.10	0.47
transcript45395	HORVU.RGT_PLANET.PROJ.6HG00536700	1.40	0.58	0.58	0.30	0.59	0.25
transcript45397	HORVU.RGT_PLANET.PROJ.6HG00536720	0.02	0.04	0.00	0.02	0.02	0.00
transcript45398	HORVU.RGT_PLANET.PROJ.6HG00536730	0.00	0.00	0.00	0.00	0.00	0.00
transcript45399	HORVU.RGT_PLANET.PROJ.6HG00536740	0.00	0.00	0.00	0.00	0.00	0.00
transcript45400	HORVU.RGT_PLANET.PROJ.6HG00536750	0.00	0.14	0.00	0.06	0.06	0.06
transcript45404	HORVU.RGT_PLANET.PROJ.6HG00536810	0.04	0.00	0.04	0.04	0.00	0.08
transcript45405	HORVU.RGT_PLANET.PROJ.6HG00536820	0.00	0.00	0.00	0.00	0.00	0.00
transcript45410	HORVU.RGT_PLANET.PROJ.6HG00536850	0.00	0.00	0.00	0.00	0.00	0.00
transcript45417	HORVU.RGT_PLANET.PROJ.6HG00536910	0.00	0.00	0.00	0.00	0.00	0.00
transcript45418	HORVU.RGT_PLANET.PROJ.6HG00536920	0.00	0.00	0.00	0.00	0.00	0.00
transcript45420	HORVU.RGT_PLANET.PROJ.6HG00536960	0.00	0.00	0.00	0.00	0.00	0.03
transcript45422	HORVU.RGT_PLANET.PROJ.6HG00536980	0.05	0.00	0.00	0.05	0.05	0.03
transcript45426	HORVU.RGT_PLANET.PROJ.6HG00537010	0.00	0.00	0.00	0.00	0.00	0.00
transcript45429	HORVU.RGT_PLANET.PROJ.6HG00537030	7.97	7.41	10.45	1.00	1.09	0.79
transcript45430	HORVU.RGT_PLANET.PROJ.6HG00537040	0.02	0.00	0.17	0.00	0.00	0.02
transcript45431	HORVU.RGT_PLANET.PROJ.6HG00537070	0.00	0.00	0.00	0.33	0.70	0.93
transcript45440	HORVU.RGT_PLANET.PROJ.6HG00537200	0.00	0.00	0.00	0.00	0.00	0.00
transcript45441	HORVU.RGT_PLANET.PROJ.6HG00537210	4.68	4.97	5.30	0.00	0.00	0.63
